"","cena","Oferta od","Kategoria","Marka pojazdu","Model pojazdu","Wersja","Rok produkcji","Przebieg","Pojemnoœæ skokowa","Rodzaj paliwa","Moc","Skrzynia biegów","Napêd","Emisja CO2","Typ","Liczba drzwi","Liczba miejsc","Kolor","VAT mar¿a","Kraj pochodzenia","Pierwsza rejestracja","Numer rejestracyjny pojazdu","Zarejestrowany w Polsce","Bezwypadkowy","Serwisowany w ASO","Stan","Rodzaj koloru","Mo¿liwoœæ finansowania","Faktura VAT","Leasing","Pierwszy w³aœciciel","Filtr cz¹stek sta³ych","Gwarancja dealerska (w cenie)","Uszkodzony","Miesiêczna rata","Tuning","lub do (przebieg km)","Generacja","Okres gwarancji producenta","Op³ata pocz¹tkowa","Liczba pozosta³ych rat","Wartoœæ wykupu","Kod Silnika","Akryl (niemetalizowany)","Zarejestrowany jako zabytek","Homologacja ciê¿arowa","Kierownica po prawej (Anglik)"
"1:1379","78 900","Firmy","Osobowe","Lexus","CT",NA,"2017","71 944 km","1 798 cm3","Hybryda","136 KM","Automatyczna","Na przednie ko³a",NA,"Kompakt","5","5","Czerwony","Tak","Polska","21/09/2017",NA,"Tak",NA,"Tak","U¿ywane","Metalik","Tak",NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:1380","35 000","Osoby prywatnej","Osobowe","Lexus","ES","350","2010","144 000 km","3 441 cm3","Benzyna","272 KM","Automatyczna","Na przednie ko³a",NA,"Sedan","4","5","Srebrny",NA,NA,"01/01/2010","BAP2326885","Tak",NA,NA,"U¿ywane","Metalik",NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:1381","66 000","Firmy","Osobowe","Lexus","CT",NA,"2015","44 147 km","1 798 cm3","Hybryda","136 KM","Automatyczna","Na przednie ko³a",NA,"Kompakt","5","5","Szary",NA,"Polska","09/05/2016",NA,"Tak","Tak","Tak","U¿ywane","Metalik","Tak",NA,"Tak","Tak",NA,NA,NA,"339 PLN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:1382","139 000","Osoby prywatnej","Osobowe","Lexus","NX","300h Comfort AWD","2016","137 500 km","2 494 cm3","Hybryda","155 KM","Automatyczna","4x4 (do³¹czany automatycznie)","124 g/km","SUV","5","5","Czarny",NA,"Polska","13/05/2016","FZ7478P","Tak","Tak","Tak","U¿ywane","Metalik",NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:1383","87 000","Osoby prywatnej","Osobowe","Lexus","NX",NA,"2015","157 000 km","1 998 cm3","Benzyna","238 KM","Automatyczna","4x4 (do³¹czany automatycznie)",NA,"SUV","5","5","Bia³y",NA,"Polska","01/07/2016","TSK37168","Tak","Tak","Tak","U¿ywane","Per³owy",NA,NA,NA,"Tak",NA,NA,NA,NA,NA,"157 000 km",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:1384","139 900","Firmy","Osobowe","Lexus","GS",NA,"2017","89 500 km","2 494 cm3","Hybryda","181 KM","Automatyczna","Na tylne ko³a",NA,"Sedan","4","5","Czarny",NA,"Polska","23/11/2017",NA,"Tak",NA,"Tak","U¿ywane","Metalik","Tak","Tak",NA,"Tak",NA,NA,NA,NA,NA,NA,"IV (2012-2018)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:1385","44 900","Osoby prywatnej","Osobowe","Lexus","CT","200h Comfort","2015","66 201 km","1 798 cm3","Hybryda","99 KM","Automatyczna","Na przednie ko³a","89 g/km","Kompakt","5","5","Srebrny",NA,NA,"18/12/2015",NA,NA,NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:1386","64 900","Osoby prywatnej","Osobowe","Lexus","RX",NA,"2010","179 184 km","3 500 cm3","Hybryda","299 KM","Automatyczna",NA,NA,"SUV","5",NA,"Inny kolor",NA,NA,NA,NA,"Tak","Tak","Tak","U¿ywane",NA,"Tak",NA,NA,"Tak",NA,NA,NA,NA,NA,NA,"III (2009-2015)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:1387","14 500","Osoby prywatnej","Osobowe","Lexus","IS","200 Classic","2001","240 000 km","1 988 cm3","Benzyna","155 KM","Automatyczna","Na tylne ko³a",NA,"Sedan","4","5","Srebrny",NA,NA,"07/02/2001",NA,NA,NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I (1999-2005)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:1388","268 140","Osoby prywatnej","Osobowe","Lexus","RX","450h Business Edition","2020","5 800 km","3 456 cm3","Hybryda","263 KM","Automatyczna","4x4 (do³¹czany automatycznie)",NA,"SUV","5","5","Bia³y",NA,"Polska",NA,"K1ALEX","Tak",NA,"Tak","U¿ywane",NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,"100 000 km","IV (2015-2020)","05/08/2023",NA,NA,NA,NA,NA,NA,NA,NA
"1:1389","67 600","Osoby prywatnej","Osobowe","Lexus","IS","250","2015","133 500 km","2 500 cm3","Benzyna","208 KM","Automatyczna",NA,NA,"Sedan","4",NA,"Bordowy",NA,"Stany Zjednoczone",NA,NA,"Tak",NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"III (2013-)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:1390","74 700","Firmy","Osobowe","Lexus","RX","450h Prestige","2012","235 000 km","3 456 cm3","Hybryda","249 KM","Automatyczna","4x4 (sta³y)","148 g/km","SUV","5","5","Czarny","Tak",NA,NA,NA,NA,"Tak","Tak","U¿ywane","Metalik","Tak",NA,NA,"Tak",NA,NA,NA,NA,NA,NA,"III (2009-2015)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:1391","119 999","Osoby prywatnej","Osobowe","Lexus","RX",NA,"2017","33 000 km","1 998 cm3","Benzyna","238 KM","Automatyczna","4x4 (do³¹czany automatycznie)",NA,"SUV","5",NA,"Czarny",NA,NA,NA,NA,NA,NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IV (2015-2020)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:1392","64 900","Firmy","Osobowe","Lexus","IS",NA,"2013","185 469 km","2 500 cm3","Benzyna","207 KM","Automatyczna","Na tylne ko³a",NA,"Sedan","4","5","Bia³y","Tak","Polska","23/12/2013",NA,"Tak",NA,"Tak","U¿ywane","Metalik","Tak",NA,NA,"Tak",NA,NA,NA,NA,NA,NA,"III (2013-)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:1393","35 800","Osoby prywatnej","Osobowe","Lexus","GS",NA,"2005","190 168 km","2 995 cm3","Benzyna","249 KM","Automatyczna","Na tylne ko³a","232 g/km","Sedan","4","5","Szary","Tak","Niemcy",NA,NA,NA,"Tak","Tak","U¿ywane",NA,NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,"III (2004-2011)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:1394","132 000","Osoby prywatnej","Osobowe","Lexus","RC","200t","2016","52 000 km","1 998 cm3","Benzyna","245 KM","Automatyczna","Na tylne ko³a","166 g/km","Coupe","3","4","Czerwony",NA,"Polska",NA,NA,"Tak","Tak","Tak","U¿ywane","Metalik",NA,"Tak",NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:1395","269 000","Osoby prywatnej","Osobowe","Lexus","GS","F Prestige","2015","72 000 km","4 969 cm3","Benzyna","477 KM","Automatyczna","Na tylne ko³a","260 g/km","Sedan","4","5","Szary",NA,"Polska","11/02/2016",NA,"Tak","Tak","Tak","U¿ywane","Metalik",NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,"IV (2012-2018)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:1396","169 900","Osoby prywatnej","Osobowe","Lexus","ES","300h Elegance","2018","43 000 km","2 487 cm3","Hybryda","178 KM","Automatyczna","Na przednie ko³a",NA,"Sedan","4","5","Be¿owy",NA,"Polska",NA,NA,"Tak","Tak","Tak","U¿ywane","Metalik","Tak","Tak","Tak","Tak",NA,NA,NA,"1 258,12 PLN",NA,"100 000 km",NA,"17/12/2021","70 536,32 PLN","14","81 750 PLN",NA,NA,NA,NA,NA
"1:1397","75 900","Osoby prywatnej","Osobowe","Lexus","ES","350","2012","73 000 km","3 441 cm3","Benzyna","272 KM","Automatyczna","Na przednie ko³a",NA,"Sedan","4","5","Bia³y",NA,"Stany Zjednoczone","01/10/2012",NA,"Tak",NA,NA,"U¿ywane","Per³owy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:1398","119 925","Osoby prywatnej","Osobowe","Lexus","GS","200t / 300 Elegance","2017","51 000 km","1 998 cm3","Benzyna","245 KM","Automatyczna","Na tylne ko³a","183 g/km","Sedan","4","5","Czarny",NA,NA,"18/01/2018","LEXUS",NA,NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IV (2012-2018)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:1399","169 000","Osoby prywatnej","Osobowe","Lexus","IS",NA,"2014","73 000 km","5 000 cm3","Benzyna","423 KM","Automatyczna","Na tylne ko³a",NA,"Sedan","4","4","Czarny",NA,NA,NA,NA,"Tak",NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"II (2005-2012)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:1400","33 900","Firmy","Osobowe","Lexus","IS","220 D Prestige","2009","203 107 km","2 231 cm3","Diesel","177 KM","Manualna","Na tylne ko³a","168 g/km","Sedan","4","5","Srebrny","Tak",NA,NA,NA,NA,"Tak",NA,"U¿ywane","Metalik",NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,"II (2005-2012)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:1401","71 000","Osoby prywatnej","Osobowe","Lexus","RX","350 Elite Tour","2013","99 980 km","3 456 cm3","Benzyna","277 KM","Automatyczna",NA,"250 g/km","SUV","5","5","Czarny",NA,NA,"01/01/2013",NA,"Tak","Tak",NA,"U¿ywane","Metalik",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"III (2009-2015)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:1402","439 000","Firmy","Osobowe","Lexus","LS",NA,"2018","42 506 km","3 445 cm3","Benzyna","417 KM","Automatyczna","4x4 (sta³y)",NA,"Sedan","4","5","Czarny",NA,"Polska",NA,NA,"Tak","Tak","Tak","U¿ywane","Metalik","Tak","Tak","Tak","Tak",NA,NA,NA,NA,NA,NA,"V (2017-)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:1403","42 900","Firmy","Osobowe","Lexus","IS","250 Sport","2008","235 000 km","2 500 cm3","Benzyna","208 KM","Automatyczna","Na tylne ko³a","231 g/km","Sedan","4","5","Bia³y",NA,"Szwajcaria",NA,NA,NA,"Tak","Tak","U¿ywane","Metalik","Tak",NA,NA,"Tak",NA,NA,NA,NA,NA,NA,"II (2005-2012)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:1404","18 900","Osoby prywatnej","Osobowe","Lexus","IS","220 D Prestige","2010","151 000 km","2 231 cm3","Diesel","177 KM","Manualna","Na tylne ko³a","168 g/km","Sedan","4","5","Srebrny",NA,NA,NA,NA,"Tak",NA,NA,"U¿ywane","Metalik",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"II (2005-2012)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:1405","54 800","Osoby prywatnej","Osobowe","Lexus","GS","450h Prestige +","2010","203 000 km","3 456 cm3","Hybryda","295 KM","Automatyczna","Na tylne ko³a","186 g/km","Sedan","4","5","Czarny",NA,"Belgia",NA,NA,NA,"Tak","Tak","U¿ywane","Metalik",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"III (2004-2011)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:1406","119 000","Osoby prywatnej","Osobowe","Lexus","IS","F","2008","175 000 km","4 969 cm3","Benzyna","423 KM","Automatyczna","Na tylne ko³a",NA,"Sedan","4","4","Czarny",NA,"Polska","30/03/2008","SPS76768","Tak","Tak","Tak","U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"II (2005-2012)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:1407","142 000","Osoby prywatnej","Osobowe","Maserati","Ghibli","Diesel Automatik","2015","21 700 km","2 987 cm3","Diesel","275 KM","Automatyczna","Na tylne ko³a","158 g/km","Sedan","4","5","Niebieski",NA,NA,NA,NA,"Tak",NA,NA,"U¿ywane","Metalik",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:1408","69 999","Osoby prywatnej","Osobowe","Maserati","Quattroporte","S Q4 Automatik","2014","95 000 km","2 979 cm3","Benzyna","410 KM","Automatyczna","4x4 (sta³y)","246 g/km","Sedan","4","4","Niebieski",NA,"Stany Zjednoczone",NA,NA,NA,NA,"Tak","U¿ywane","Per³owy",NA,"Tak",NA,NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:1409","99 900","Osoby prywatnej","Osobowe","Maserati","GranTurismo","Automat","2008","99 840 km","4 244 cm3","Benzyna","405 KM","Automatyczna","Na tylne ko³a","330 g/km","Coupe","2","4","Czarny",NA,NA,NA,NA,NA,NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:1410","199 000","Osoby prywatnej","Osobowe","Maserati","Ghibli","S Q4","2017","45 000 km","2 979 cm3","Benzyna","410 KM","Automatyczna","4x4 (sta³y)",NA,"Sedan","4","5","Szary",NA,"Stany Zjednoczone","12/09/2019",NA,"Tak",NA,NA,"U¿ywane","Metalik",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:1411","269 000","Osoby prywatnej","Osobowe","Maserati","Quattroporte","S Q4","2020","5 700 km","2 979 cm3","Benzyna","430 KM","Automatyczna","Na tylne ko³a","275 g/km","Sedan","4","4","Be¿owy",NA,NA,NA,NA,NA,NA,NA,"U¿ywane","Per³owy",NA,NA,NA,"Tak",NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:1412","209 000","Osoby prywatnej","Osobowe","Maserati","Levante","ver-s","2018","43 000 km","2 987 cm3","Benzyna","350 KM","Automatyczna","4x4 (sta³y)","253 g/km","SUV","5","5","Bia³y","Tak","Stany Zjednoczone",NA,NA,"Tak",NA,NA,"U¿ywane",NA,NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:1413","249 000","Osoby prywatnej","Osobowe","Maserati","Levante",NA,"2018","10 400 km","2 979 cm3","Benzyna","430 KM","Automatyczna","4x4 (do³¹czany automatycznie)",NA,"SUV","5","5","Niebieski","Tak",NA,NA,NA,"Tak",NA,NA,"U¿ywane","Per³owy",NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:1414","106 500","Osoby prywatnej","Osobowe","Maserati","Ghibli","S","2013","59 000 km","2 979 cm3","Benzyna","410 KM","Automatyczna","4x4 (do³¹czany automatycznie)","223 g/km","Sedan","4","4","Niebieski",NA,NA,NA,"GD929SV","Tak",NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:1415","95 000","Osoby prywatnej","Osobowe","Maserati","Ghibli","S Q4","2014","85 000 km","2 979 cm3","Benzyna","410 KM","Automatyczna","4x4 (do³¹czany automatycznie)","246 g/km","Sedan","4","4","Bia³y",NA,"Stany Zjednoczone",NA,NA,NA,NA,"Tak","U¿ywane",NA,"Tak","Tak",NA,NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:1416","338 250","Osoby prywatnej","Osobowe","Maserati","Levante",NA,"2018","14 280 km","2 987 cm3","Benzyna","350 KM","Automatyczna","4x4 (do³¹czany automatycznie)",NA,"SUV","5","5","Bia³y",NA,"Stany Zjednoczone","09/06/2020","WF0579V","Tak",NA,NA,"U¿ywane",NA,NA,"Tak",NA,"Tak",NA,NA,NA,NA,NA,"14 820 km",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:1417","64 900","Osoby prywatnej","Osobowe","Maserati","Quattroporte",NA,"2006","141 000 km","4 244 cm3","Benzyna","401 KM","Automatyczna","Na tylne ko³a","345 g/km","Sedan","4","4","Srebrny",NA,NA,"18/05/2006","SR2777L","Tak",NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:1418","249 000","Osoby prywatnej","Osobowe","Maserati","Quattroporte","S Q4 GranSport","2014","39 600 km","2 979 cm3","Benzyna","410 KM","Automatyczna","4x4 (do³¹czany automatycznie)","226 g/km","Sedan","4","5","Bia³y","Tak",NA,"07/08/2014","KR7NU88","Tak",NA,"Tak","U¿ywane","Metalik","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:1419","575 000","Firmy","Osobowe","Maserati","Levante",NA,"2020","35 km","2 979 cm3","Benzyna","430 KM","Automatyczna",NA,NA,"SUV","4","5","Br¹zowy",NA,NA,"30/12/2020",NA,NA,"Tak",NA,"U¿ywane","Metalik","Tak","Tak","Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:1420","790 000","Firmy","Osobowe","Maserati","Levante",NA,"2020","9 000 km","3 799 cm3","Benzyna","581 KM","Automatyczna","4x4 (do³¹czany automatycznie)",NA,"SUV","5","5","Niebieski",NA,NA,"12/12/2020",NA,NA,"Tak",NA,"U¿ywane",NA,"Tak","Tak",NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:1421","359 000","Firmy","Osobowe","Maserati","Ghibli",NA,"2018","19 800 km","2 987 cm3","Diesel","275 KM","Automatyczna","Na tylne ko³a",NA,"Sedan","4","5","Czarny",NA,NA,"18/12/2018",NA,NA,"Tak",NA,"U¿ywane","Metalik","Tak","Tak","Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:1422","159 900","Firmy","Osobowe","Maserati","Ghibli","S Q4","2013","53 000 km","2 979 cm3","Benzyna","410 KM","Automatyczna","4x4 (do³¹czany automatycznie)",NA,"Sedan","4","5","Czarny",NA,NA,NA,NA,"Tak",NA,NA,"U¿ywane",NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:1423","640 000","Firmy","Osobowe","Maserati","Ghibli","S Q4","2020","50 km","2 979 cm3","Benzyna","430 KM","Automatyczna","4x4 (sta³y)","252 g/km","Kompakt","4","5","Inny kolor",NA,"Polska",NA,NA,NA,"Tak",NA,"Nowe","Per³owy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:1424","75 000","Firmy","Osobowe","Maserati","Ghibli",NA,"2014","133 600 km","3 000 cm3","Benzyna","410 KM","Automatyczna","4x4 (do³¹czany automatycznie)",NA,"Sedan","4","5","Niebieski",NA,NA,NA,NA,NA,NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:1425","169 999","Firmy","Osobowe","Maserati","Ghibli","Automatik","2017","58 000 km","2 979 cm3","Benzyna","330 KM","Automatyczna","Na tylne ko³a","207 g/km","Sedan","4","5","Czarny","Tak","Stany Zjednoczone",NA,NA,NA,NA,NA,"U¿ywane","Metalik",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:1426","335 500","Firmy","Osobowe","Maserati","Levante",NA,"2017","26 693 km","2 979 cm3","Benzyna","430 KM","Automatyczna","4x4 (do³¹czany automatycznie)",NA,"SUV","5","5","Bia³y",NA,"Polska","31/05/2017",NA,"Tak","Tak","Tak","U¿ywane",NA,NA,"Tak",NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:1427","299 900","Firmy","Osobowe","Maserati","Quattroporte",NA,"2017","32 300 km","2 979 cm3","Benzyna","410 KM","Automatyczna","Na tylne ko³a",NA,"Sedan","4","5","Srebrny",NA,NA,NA,NA,NA,NA,NA,"U¿ywane","Metalik","Tak","Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:1428","309 960","Firmy","Osobowe","Maserati","Levante","Diesel","2018","33 603 km","2 987 cm3","Diesel","275 KM","Automatyczna","4x4 (sta³y)","189 g/km","SUV","5","5","Niebieski",NA,"Polska","08/11/2018",NA,"Tak",NA,"Tak","U¿ywane","Metalik","Tak","Tak","Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:1429","319 800","Osoby prywatnej","Osobowe","Maserati","Levante","S","2018","33 500 km","2 979 cm3","Benzyna","430 KM","Automatyczna","4x4 (sta³y)","253 g/km","SUV","5","5","Szary",NA,NA,"28/02/2018",NA,NA,"Tak",NA,"U¿ywane","Metalik",NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:1430","129 900","Firmy","Osobowe","Maserati","Ghibli",NA,"2014","88 636 km","2 979 cm3","Benzyna","330 KM","Automatyczna","Na tylne ko³a","207 g/km","Sedan","4","5","Bia³y",NA,NA,NA,NA,"Tak",NA,NA,"U¿ywane","Per³owy",NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:1431","159 000","Osoby prywatnej","Osobowe","Maserati","Ghibli","S Q4","2015","41 900 km","2 979 cm3","Benzyna","410 KM","Automatyczna","4x4 (do³¹czany automatycznie)","246 g/km","Sedan","4","5","Czarny",NA,"Stany Zjednoczone",NA,NA,"Tak",NA,"Tak","U¿ywane","Metalik",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:1432","86 000","Firmy","Osobowe","Maserati","Ghibli",NA,"2016","53 000 km","2 979 cm3","Benzyna","410 KM","Automatyczna","Na tylne ko³a","360 g/km","Coupe","4","4","Czarny",NA,NA,NA,NA,NA,NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:1433","179 000","Firmy","Osobowe","Maserati","GranTurismo",NA,"2015","86 000 km","4 691 cm3","Benzyna","460 KM","Automatyczna","Na tylne ko³a","360 g/km","Coupe","2","4","Bia³y",NA,NA,NA,NA,NA,NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:1434","239 700","Firmy","Osobowe","Maserati","GranTurismo",NA,"2012","85 000 km","4 700 cm3","Benzyna","460 KM","Automatyczna","Na tylne ko³a",NA,"Coupe","2","4","Szary",NA,"Stany Zjednoczone","01/01/2012",NA,"Tak",NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:1435","179 900","Osoby prywatnej","Osobowe","Maserati","Quattroporte","GTS","2014","109 000 km","3 799 cm3","Benzyna","530 KM","Automatyczna","Na tylne ko³a","274 g/km","Sedan","4","5","Z³oty",NA,"Stany Zjednoczone","01/01/2014","SK033PU","Tak",NA,"Tak","U¿ywane","Metalik","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:1436","159 900","Osoby prywatnej","Osobowe","Maserati","Ghibli","Diesel Automatik","2016","48 432 km","2 987 cm3","Diesel","275 KM","Automatyczna","Na tylne ko³a","158 g/km","Sedan","4","5","Szary",NA,NA,"29/04/2016","RK61797","Tak",NA,"Tak","U¿ywane","Metalik",NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:1437","45 000","Osoby prywatnej","Osobowe","Maserati","GranTurismo","S","2009","60 000 km","4 691 cm3","Benzyna","440 KM","Automatyczna","Na tylne ko³a","385 g/km","Coupe","2","4","Czarny",NA,"Stany Zjednoczone",NA,"123456",NA,NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:1438","180 000","Osoby prywatnej","Osobowe","Maserati","Levante","Diesel","2016","95 000 km","2 987 cm3","Diesel","275 KM","Automatyczna","4x4 (sta³y)","189 g/km","SUV","5","5","Czarny",NA,NA,"28/11/2016",NA,"Tak",NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:1439","156 000","Osoby prywatnej","Osobowe","Maserati","Ghibli",NA,"2016","38 000 km","3 000 cm3","Benzyna","410 KM","Automatyczna","4x4 (do³¹czany automatycznie)",NA,"Sedan","5","5","Bia³y","Tak","Stany Zjednoczone",NA,NA,"Tak",NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:1440","465 000","Osoby prywatnej","Osobowe","Maserati","GranTurismo",NA,"2020","25 000 km","4 691 cm3","Benzyna","460 KM","Automatyczna","Na tylne ko³a","360 g/km","Coupe","2","4","Czarny",NA,NA,"05/05/2020",NA,"Tak","Tak","Tak","U¿ywane","Metalik",NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:1441","166 050","Osoby prywatnej","Osobowe","Maserati","Quattroporte","Sport GT S","2011","97 000 km","4 691 cm3","Benzyna","440 KM","Automatyczna","Na tylne ko³a","365 g/km","Sedan","4","4","Czarny",NA,NA,NA,NA,"Tak",NA,NA,"U¿ywane","Metalik",NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:1442","99 900","Firmy","Osobowe","Maserati","Ghibli","S Q4","2014","77 000 km","2 979 cm3","Benzyna","410 KM","Automatyczna","4x4 (do³¹czany automatycznie)","246 g/km","Sedan","4","4","Srebrny","Tak","Kanada","01/01/2014","PO8W669","Tak",NA,NA,"U¿ywane","Metalik","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
